Model,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
Linear Regression,65961.02002030011,69361.41129900134,0.6745266998110087,0.6328623004516079,47763.27094103117,49932.84568045786
Random Forest,38411.96656837763,52722.82142833081,0.8896242351470506,0.7878756979294252,26285.600846588313,35020.905341769416
Lasso Regression,65961.02007448522,69361.12742700346,0.6745266992762746,0.6328653055778602,47763.24783287171,49932.66964892853
